${sku},${url},${unit},${order_by}
"10000861",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000861_ea_p2.jpg,PAA,0
"10000861",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000861_ea_p1.jpg,PAA,1
"10000861",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000861_ea_p3.jpg,PAA,2
"10000866",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000866_sen_1200_1.jpg,SEN,1
"10000878",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000878_ea_1200_1.jpg,EA,1
"10000878",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000878_ea_1200_2.jpg,EA,2
"10000880",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000880_bk_1200_1.jpg,BK,1
"10000880",https://www.dohome.co.th/pub/media/catalog/product/l/i/lis_100000252_10000880_qr.jpg,BK,2
"10000895",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000895_ea_1200_1.jpg,EA,1
"10000895",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000895_ea_1200_2.jpg,EA,2
"10000895",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000895_ea_1200_3.jpg,EA,3
"10000896",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000896_bt_1200_1.jpg,BT,1
"10000900",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000900_bt_1200_1.jpg,BT,1
"10000900",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000900_bt_1200_1_1.jpg,BT,2
"10000917",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000917_ea_1200_1.jpg,EA,1
"10000917",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000917_ea_1200_2.jpg,EA,2
"10000927",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000927_bt_1200_1.jpg,BT,1
"10000927",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000927_bt_1200_1_1.jpg,BT,2
"10000929",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000929_ea_1200_1_1.jpg,EA,1
"10000935",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000935_bt_1200_1_1.jpg,BT,2
"10000939",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000939_bt_1200_1.jpg,BT,1
"10000939",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000939_bt_1200_1_1.jpg,BT,2
"10000944",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000944_bt_1200_1.jpg,BT,1
"10000944",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000944_bt_1200_1_1.jpg,BT,2
"10000947",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000947_ea_1200_1.jpg,EA,1
"10000947",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000947_ea_1200_2.jpg,EA,2
"10000948",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000948_bt_1200_1.jpg,BT,1
"10000948",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000948_bt_1200_1_1.jpg,BT,2
"10000952",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000952_ea_1200_1_1.jpg,EA,1
"10000953",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000953_bt_1200_1.jpg,BT,1
"10000953",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000953_bt_1200_1_1.jpg,BT,2
"10000961",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000961_bt_1200_1.jpg,BT,1
"10000961",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000961_bt_1200_1_1.jpg,BT,2
"10000965",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000965_bt_1200_1.jpg,BT,1
"10000965",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000965_bt_1200_1_1.jpg,BT,2
"10000975",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000975_mc_1200_1.jpg,EA,1
"10000975",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000975_mc_1200_2.jpg,EA,2
"10000975",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000975_mc_1200_3.jpg,EA,3
"10000985",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000985_ea_1200_3.jpg,EA,1
"10000985",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000985_ea_1200_2.jpg,EA,2
"10000985",https://www.dohome.co.th/pub/media/catalog/product/1/0/10000985_ea_1200_1.jpg,EA,3
